analysis_id,qc_type,batch_id,Cer d18:1/24:0,PC 32:1,PC 40:8
Longit_batch2_3,SPL,2,0.005938033,0.032574730033627916,0.003386165
Longit_batch2_4,SPL,2,0.005008107,0.032402379,0.003247404
Longit_batch2_5,SPL,2,0.004339194,0.041282054109360575,0.004114994
Longit_batch2_6,SPL,2,0.007049946,0.048851432,0.005007985
Longit_batch2_7,SPL,2,0.010264461106075673,0.068251017,0.004530307
Longit_batch2_8,SPL,2,0.007222519,0.047573512717401754,0.005693594
Longit_batch2_9,SPL,2,0.008205998,0.047137742588111896,0.004199803
Longit_batch2_10,SPL,2,0.008841536,0.073329307,0.008465389
Longit_batch2_PQC 12,BQC,2,0.008931634,0.051696471,0.005570879
Longit_batch2_11,SPL,2,0.005900917,0.039091078,0.005274477
Longit_batch2_12,SPL,2,0.006639469,0.047972825705897185,0.003791783
Longit_batch2_13,SPL,2,0.009541791,0.048509714574320364,0.006198433
Longit_batch2_14,SPL,2,0.013230249458358817,0.082043221,0.008957099
Longit_batch2_15,SPL,2,0.006753184,0.047177188709366775,0.003974393
Longit_batch2_16,SPL,2,0.009316082,0.052228796,0.005503788
Longit_batch2_17,SPL,2,0.008118535,0.059785943,0.006530855
Longit_batch2_18,SPL,2,0.0099524,0.054382496942861444,0.003841901
Longit_batch2_19,SPL,2,0.009500273,0.044588820845341215,0.005163575
Longit_batch2_20,SPL,2,0.005482966,0.040466994,0.004076767
Longit_batch2_PQC 13,BQC,2,0.010527165,0.03927751,0.004126507
Longit_batch2_21,SPL,2,0.007421401,0.044133405432260846,0.005508241
Longit_batch2_22,SPL,2,0.009176683,0.066689131,0.008570338
Longit_batch2_23,SPL,2,0.007257673,0.043159259,0.002668865
Longit_batch2_24,SPL,2,0.008673433,0.078812213,0.006095329
Longit_batch2_25,SPL,2,0.006750593,0.046367525,0.004726576
Longit_batch2_TQC13,TQC,2,0.007089182,0.045041300082332196,0.003890346
Longit_batch2_26,SPL,2,0.008081621,0.051060922,0.004797828
Longit_batch2_27,SPL,2,0.009190535,0.069262957,0.005535711
Longit_batch2_28,SPL,2,0.011281485416110166,0.044465222,0.004213607
Longit_batch2_29,SPL,2,0.005803152,0.076503659,0.00513904
Longit_batch2_30,SPL,2,0.008578972,0.049994504,0.00318029
Longit_batch2_PQC 14,BQC,2,0.009144127,0.051090457,0.004776084
Longit_batch2_31,SPL,2,0.005396448,0.047358085,0.004566845
Longit_batch2_32,SPL,2,0.011889782977340137,0.050476867,0.007799565
Longit_batch2_33,SPL,2,0.007835116,0.066518728,0.005674612
Longit_batch2_34,SPL,2,0.005656485,0.031624176,0.002395356
Longit_batch2_35,SPL,2,0.015850845,0.073821365,0.007164353
Longit_batch2_TQC14,TQC,2,0.006943789,0.050557675161970836,0.004053879
Longit_batch2_36,SPL,2,0.007417758,0.073368426,0.005813109
Longit_batch2_37,SPL,2,0.009214005,0.079224136,0.007634455
Longit_batch2_38,SPL,2,0.010355798834425984,0.048305063,0.004833008
Longit_batch2_39,SPL,2,0.009980279,0.033171917,0.004255099
Longit_batch2_40,SPL,2,0.011726679296805962,0.093961032,0.005158299
Longit_batch2_PQC 15,BQC,2,0.009651767,0.047800722852145414,0.004979934
Longit_batch2_41,SPL,2,0.010591945,0.048239533,0.003773143
Longit_batch2_42,SPL,2,0.009951277,0.050971110781992526,0.003017478
Longit_batch2_43,SPL,2,0.00884202,0.046705397,0.003287289
Longit_batch2_44,SPL,2,0.011003485320936698,0.076770224,0.003012442
Longit_batch2_45,SPL,2,0.009125604,0.051431741394792244,0.002327029
Longit_batch2_TQC15,TQC,2,0.008841374,0.055733251,0.003669257
Longit_batch2_46,SPL,2,0.011273091193399566,0.051918941,0.003891798
Longit_batch2_47,SPL,2,0.010835621533355242,0.061838669512742764,0.002958652
Longit_batch2_48,SPL,2,0.010588207481976407,0.044262325,0.001810616
Longit_batch2_49,SPL,2,0.012420453169193001,0.056628292,0.003094678
Longit_batch2_50,SPL,2,0.012019971193305922,0.058060989205002876,0.003528754
Longit_batch2_PQC 16,BQC,2,0.009186451,0.052680966779497664,0.004963603
Longit_batch2_51,SPL,2,0.011755700977218581,0.037715726,0.004558733
Longit_batch2_52,SPL,2,0.008579515,0.055905118322493876,0.004559529
Longit_batch2_53,SPL,2,0.011669715379583738,0.037194246,0.00280019
Longit_batch2_54,SPL,2,0.007366823,0.040401884,0.001329535
Longit_batch2_55,SPL,2,0.007639692,0.054781821378006336,0.00409499
Longit_batch2_TQC16,TQC,2,0.009798245,0.044103743,0.002603985
Longit_batch2_56,SPL,2,0.008084531,0.04290126,0.003627659
Longit_batch2_57,SPL,2,0.013244963,0.051579511,0.001969761
Longit_batch2_58,SPL,2,0.019067025240929562,0.068435567,0.003815979
