analysis_id,qc_type,CE 18:1,CE 18:1 d7 (ISTD),Cer d18:1/16:0,Cer d18:1/24:0,Cer d18:1/25:0 (ISTD),LPC 18:1 (a),LPC 18:1 (ab) d7 (ISTD),LPC 18:1 (b),PC 28:0|SM 32:1 M+3,PC 32:1,PC 33:1 d7 (ISTD),PC 40:6,PC 40:8,PE 33:1 d7 (ISTD),PE 34:1,PE P-16:0/18:1 [-FA-HG],PE P-16:0/18:1 [-FA],PI 33:1 d7 (ISTD),PI 34:1,SM 32:1,SM 34:1,SM 36:2 d9 (ISTD),TG 48:1 [-18:1],TG 48:1 [SIM],TG 48:1 d7 (ISTD) [-15:0],TG 48:1 d7 (ISTD) [SIM],TG 48:2 [-16:0],TG 48:2 [-18:1],TG 48:2 [SIM]
Longit_batch5_6,SPL,1554423.4,288605.03,74824.164,2016626.8,1398098.4,1335565.5,4908819,5989127,105635.11,3476302,3927462.8,5819796,217234.69,37586.69,193648.34,45961.99,47607.48,29569.66,96317.96,6687262,46282184,536265.75,1662149.6,5444244,1043963,1435777.4,1656706.1,1992411.8,7921405.5
Longit_batch5_7,SPL,1145806.8,320940.7,62767.348,981619,1510089,766630.3,4912060,3165913,31893.615,2507074.8,4140719,4562639.5,102733.336,43809.043,154243.95,16404.27,26374.896,31733.236,47805.37,1901552.5,36641490,522366.28,822398.9,3028639.5,1557586.6,1643797.8,997224.9,785439.2,3353722
Longit_batch5_8,SPL,1060246,262128.31,67744.88,1380836.6,1640375.4,616355.1,5076310.5,2529555,28827.486,2851760.8,3916832,3505989.8,88249.14,41177.61,254923.97,19986.977,22986.117,35396.332,67562.35,2427039.5,38902460,626177.06,1353375.6,4681519.5,1277379.8,1436115.8,1460516.6,1068809.4,4977394.5
Longit_batch5_9,SPL,814635.06,180752.19,55806.633,2296253.3,1529477.3,1219652.5,4512001.5,3409835.5,76811.945,1867177.5,3322053,4393985.5,138727.44,29732.799,198490.05,34923.367,36115.164,28551.96,112513.61,2443705.8,38008956,567157.44,4929142.5,16933470,771441.7,1093557.1,4617775,2391055.5,16896370
Longit_batch5_10,SPL,1172670.6,353878.75,62041.42,2037092.1,1486268.3,811751,4748794,3202230.8,21579.746,2275797,4669440,2598670.5,106525.27,37259.06,103253.266,26040.615,26911.998,21670.914,46019.926,2504897.3,39451956,699641.5,586750.5,2075902.8,1880383.4,2312057.3,573616.4,378797.56,2180593
Longit_batch5_PQC 39,BQC,1145453.3,307036.4,52991.434,1462311,1306894.6,940900.75,4234452,4029306.5,74640.02,1859824.8,4522594.5,3330745.3,158789.4,48567.938,130776.26,26871.135,26009.62,31803.072,77903.336,2811335.3,39881076,637189.56,2202686.8,7543978,1417517.9,1807755.4,2258195.5,1956078.3,9208052
Longit_batch5_11,SPL,1032666.7,363570.2,72061.66,1432968,1563509.8,945686.4,4895261,3719316.3,67013.87,1553598.9,4394476.5,2412145.5,129644.21,33351.098,150632.23,33525.55,33422.406,28652.031,89472.625,2632570.3,34035492,639694.94,1355727.5,4297073,2039115,2221329,1402091.6,1216134,4750786.5
Longit_batch5_12,SPL,1078703.1,359936.44,57493.367,1065705.1,1569301,777889.3,4693969,2061629.3,37960.08,2548698.8,3687456.8,2836794.8,77557.555,39381.887,180612.77,27656.713,39538.703,24068.28,55352.168,2650645.5,37980532,705291.94,1969084.9,6622795,1355049.1,1729081.3,1868033.5,1576883,7220704
Longit_batch5_13,SPL,1439332.1,322318.34,50869.836,1167316.6,1460683.6,1634092,4411101.5,7488593,59463.81,1645843.4,3269146.8,4697151,224309.4,34723.88,105876.58,21363.775,25099.576,26361.092,95331.47,3024874,41342370,538439.3,1093972.4,3029754.8,1415082.1,2029325.4,816129.9,965346.1,3895949.5
Longit_batch5_14,SPL,1153213.4,279034.4,50201.242,1971533,1419726.6,1130350.1,4601689,4821622,131263.89,2242424.3,4129951.5,2378276.8,142767.11,37320.383,129062.68,35643.664,49216.457,29085.54,69059.49,3291040.3,39531320,625572.2,2545529,7950232.5,1775157.6,2185533.8,2270341.5,2300077.5,8223108
